"sample","dino_present","n_dino_asvs","total_dino_reads"
"ERR10028090",1,473,77135
"ERR10028091",1,270,17968
"ERR10028092",1,1163,379274
"ERR10028093",1,1162,228529
"ERR10028094",1,1159,289414
"ERR10028095",1,1071,199643
"ERR10028096",1,468,60766
"ERR10028097",1,340,10901
"ERR10028098",1,758,133133
"ERR10028099",1,553,70453
"ERR10028100",1,281,124609
"ERR10028101",1,383,175194
"ERR10028102",1,317,275030
"ERR10028103",1,347,237293
"ERR10028104",1,605,378217
"ERR10028105",1,457,474023
"ERR10037630",1,1,1
"ERR10037634",1,3,4
"ERR10037637",1,2,2
"ERR10037641",1,2,2
"ERR10037642",1,2,2
"ERR10037643",1,1,5
"ERR10037645",1,1,1
"ERR10037653",1,1,1
"ERR10037661",1,1,1
"ERR10037703",1,1,1
"ERR10037704",1,1,1
"ERR10037721",1,1,2
"ERR10037734",1,1,1
"ERR10037756",1,1,1
"ERR10037758",1,2,3
"ERR10037759",1,1,4
"ERR10037760",1,1,2
"ERR10037767",1,1,1
"ERR10037768",1,1,2
"ERR10037780",1,1,6
"ERR10037787",1,1,2
"ERR10037792",1,1,1
"ERR10037797",1,2,5
"ERR10037799",1,1,29
"ERR10037800",1,1,1
"ERR10037801",1,1,9
"ERR10037812",1,2,2
"ERR10037814",1,1,5
"ERR10037815",1,2,3
"ERR10037823",1,1,1
"ERR10037824",1,1,1
"ERR10037825",1,1,1
"ERR10037828",1,2,4
"ERR10037833",1,1,4
"ERR10037834",1,1,1
"ERR10037836",1,1,1
"ERR10037837",1,2,4
"ERR10037849",1,1,34
"ERR10037850",1,2,4
"ERR10037851",1,1,2
"ERR10037852",1,1,1
"ERR10037866",1,1,1
"ERR10037873",1,1,1
"ERR10037878",1,1,1
"ERR10037883",1,1,2
"ERR10037885",1,1,3
"ERR10037889",1,1,1
"ERR10037893",1,2,2
"ERR10037894",1,1,38
"ERR10037904",1,1,1
"ERR10037919",1,1,1
"ERR10037923",1,1,4
"ERR10037925",1,2,2
"ERR10037926",1,1,1
"ERR10037929",1,1,1
"ERR10037934",1,1,1
"ERR10037936",1,5,10
"ERR10037945",1,1,1
"ERR10037946",1,1,1
"ERR10037954",1,1,1
"ERR10037956",1,2,2
"ERR10037958",1,1,10
"ERR10037959",1,2,3
"ERR10037960",1,1,1
"ERR10037961",1,1,2
"ERR10037967",1,1,7
"ERR10037973",1,1,2
