"sample","n_dino_asvs_rarefied"
"SRR14697355",83
"SRR14697278",145
"SRR14696045",143
"SRR14696043",123
"SRR14696042",130
"SRR14696041",146
"SRR14696040",124
"SRR14696037",112
"SRR14696036",141
"SRR14696035",192
"SRR14696034",204
"SRR14696032",222
"SRR14696031",191
"SRR14696030",225
"SRR14696029",223
"SRR14696028",151
"SRR14696027",232
"SRR14696026",214
"SRR14696025",231
"SRR14696024",177
"SRR14696023",156
"SRR14696021",148
"SRR14696020",181
"SRR14696019",230
"SRR14696018",301
"SRR14696017",188
"SRR14696015",172
"SRR14696014",163
"SRR14696013",163
"SRR14697351",157
"SRR14696012",173
"SRR14696010",166
"SRR14696009",153
"SRR14696008",132
"SRR14696007",173
"SRR14696006",190
"SRR14696005",224
"SRR14696004",163
"SRR14696003",238
"SRR14696002",260
"SRR14697350",247
"SRR14696001",232
"SRR14695999",283
"SRR14695998",258
"SRR14695997",264
"SRR14695996",264
"SRR14695995",239
"SRR14695994",251
"SRR14695993",206
"SRR14695992",258
"SRR14695991",243
"SRR14695990",248
"SRR14695988",267
"SRR14695987",296
"SRR14695986",253
"SRR14695985",219
"SRR14695984",199
"SRR14695983",174
"SRR14695982",175
"SRR14695981",198
"SRR14695980",185
"SRR14695979",195
"SRR14695976",173
"SRR14695975",206
"SRR14695974",217
"SRR14696640",80
"SRR14696639",198
"SRR14696628",167
"SRR14696606",160
"SRR14697348",258
"SRR14696595",153
"SRR14696584",66
"SRR14696573",176
"SRR14696564",170
"SRR14696563",71
"SRR14696638",146
"SRR14696637",118
"SRR14696635",158
"SRR14696634",180
"SRR14697347",257
"SRR14696633",123
"SRR14696632",133
"SRR14696631",204
"SRR14696625",222
"SRR14696624",235
"SRR14696623",73
"SRR14697346",238
"SRR14696622",110
"SRR14696621",124
"SRR14696620",66
"SRR14696619",104
"SRR14696618",121
"SRR14696616",50
"SRR14696615",111
"SRR14696614",113
"SRR14696613",56
"SRR14696612",133
"SRR14697354",83
"SRR14697345",188
"SRR14696609",106
"SRR14696608",140
"SRR14696607",79
"SRR14696605",111
"SRR14696604",188
"SRR14696603",103
"SRR14696602",140
"SRR14696601",227
"SRR14697344",168
"SRR14696599",101
"SRR14696598",200
"SRR14696597",89
"SRR14696596",118
"SRR14696594",288
"SRR14696593",102
"SRR14696592",101
"SRR14696591",249
"SRR14696590",82
"SRR14697342",270
"SRR14696589",123
"SRR14696588",234
"SRR14696587",96
"SRR14696586",163
"SRR14696585",207
"SRR14696583",125
"SRR14696582",219
"SRR14696581",252
"SRR14696580",105
"SRR14696579",166
"SRR14697341",279
"SRR14696578",284
"SRR14696577",112
"SRR14696576",187
"SRR14696575",321
"SRR14696574",90
"SRR14696572",128
"SRR14696571",301
"SRR14696570",106
"SRR14696569",181
"SRR14696568",246
"SRR14697340",281
"SRR14696567",127
"SRR14696566",191
"SRR14696565",269
"SRR14697339",263
"SRR14697338",316
"SRR14697337",264
"SRR14697336",328
"SRR14697335",281
"SRR14697343",138
"SRR14697334",314
"SRR14697333",251
"SRR14697331",87
"SRR14697330",87
"SRR14697329",99
"SRR14697328",77
"SRR14697327",88
"SRR14697326",122
"SRR14697325",125
"SRR14697332",38
"SRR14697324",192
"SRR14697323",123
"SRR14697322",166
"SRR14697320",155
"SRR14697319",150
"SRR14697318",131
"SRR14697317",135
"SRR14697316",163
"SRR14697315",171
"SRR14697314",266
"SRR14697321",143
"SRR14697313",273
"SRR14697312",179
"SRR14697311",226
"SRR14697309",181
"SRR14697308",223
"SRR14697307",216
"SRR14697306",277
"SRR14697305",226
"SRR14697304",338
"SRR14697303",243
"SRR14697310",32
"SRR14697302",209
"SRR14697301",213
"SRR14697300",423
"SRR14697298",301
"SRR14697297",399
"SRR14697296",313
"SRR14697295",284
"SRR14697294",262
"SRR14697293",298
"SRR14697292",291
"SRR14697299",119
"SRR14697291",323
"SRR14697290",252
"SRR14697289",307
"SRR14697287",311
