sample,latitude_left,longitude_left,geometry,index_right,name,latitude_right,longitude_right,min_Y,min_X,max_Y,max_X,area_km2
ERR10028090,40.8,14.25,POINT (14.25 40.8),6.0,Mediterranean Region,38.13065,19.70067,30.06809,-6.03255,47.3764,42.35496,2988248.0
ERR10028091,40.8,14.25,POINT (14.25 40.8),6.0,Mediterranean Region,38.13065,19.70067,30.06809,-6.03255,47.3764,42.35496,2988248.0
ERR10028092,59.26666667,10.71666667,POINT (10.71666667 59.26666667),8.0,North Atlantic Ocean,31.77621,-40.24758,-0.93603,-98.05392,68.63872,12.00594,41741693.0
ERR10028093,59.26666667,10.71666667,POINT (10.71666667 59.26666667),8.0,North Atlantic Ocean,31.77621,-40.24758,-0.93603,-98.05392,68.63872,12.00594,41741693.0
ERR10028094,59.26666667,10.71666667,POINT (10.71666667 59.26666667),8.0,North Atlantic Ocean,31.77621,-40.24758,-0.93603,-98.05392,68.63872,12.00594,41741693.0
ERR10028095,59.26666667,10.71666667,POINT (10.71666667 59.26666667),8.0,North Atlantic Ocean,31.77621,-40.24758,-0.93603,-98.05392,68.63872,12.00594,41741693.0
ERR10028096,59.26666667,10.71666667,POINT (10.71666667 59.26666667),8.0,North Atlantic Ocean,31.77621,-40.24758,-0.93603,-98.05392,68.63872,12.00594,41741693.0
ERR10028097,59.26666667,10.71666667,POINT (10.71666667 59.26666667),8.0,North Atlantic Ocean,31.77621,-40.24758,-0.93603,-98.05392,68.63872,12.00594,41741693.0
ERR10028098,59.26666667,10.71666667,POINT (10.71666667 59.26666667),8.0,North Atlantic Ocean,31.77621,-40.24758,-0.93603,-98.05392,68.63872,12.00594,41741693.0
ERR10028099,59.26666667,10.71666667,POINT (10.71666667 59.26666667),8.0,North Atlantic Ocean,31.77621,-40.24758,-0.93603,-98.05392,68.63872,12.00594,41741693.0
ERR10028100,43.16666667,28.83333333,POINT (28.83333333 43.16666667),6.0,Mediterranean Region,38.13065,19.70067,30.06809,-6.03255,47.3764,42.35496,2988248.0
ERR10028101,43.16666667,28.83333333,POINT (28.83333333 43.16666667),6.0,Mediterranean Region,38.13065,19.70067,30.06809,-6.03255,47.3764,42.35496,2988248.0
ERR10028102,43.16666667,28.83333333,POINT (28.83333333 43.16666667),6.0,Mediterranean Region,38.13065,19.70067,30.06809,-6.03255,47.3764,42.35496,2988248.0
ERR10028103,43.16666667,28.83333333,POINT (28.83333333 43.16666667),6.0,Mediterranean Region,38.13065,19.70067,30.06809,-6.03255,47.3764,42.35496,2988248.0
ERR10028104,43.16666667,28.83333333,POINT (28.83333333 43.16666667),6.0,Mediterranean Region,38.13065,19.70067,30.06809,-6.03255,47.3764,42.35496,2988248.0
ERR10028105,43.16666667,28.83333333,POINT (28.83333333 43.16666667),6.0,Mediterranean Region,38.13065,19.70067,30.06809,-6.03255,47.3764,42.35496,2988248.0
ERR10037626,61.510935,6.298389,POINT (6.298389 61.510935),,,,,,,,,
ERR10037627,61.510935,6.298389,POINT (6.298389 61.510935),,,,,,,,,
