"sample","nreadsTotal","nreadsPedino","amplicon","avgPedino","relative_abundance","abundance_percent"
"ERR10028094",594562,1,"da28b9c99741458259a9e7a4b2e02e886707d2c8",1,1.68191038108725e-06,0.000168191038108725
"ERR10028094",594562,1,"35db77dc083382987678e6cad69310a435503ad7",1,1.68191038108725e-06,0.000168191038108725
"ERR10028095",483967,1,"9151b723ff405f3e15fb889195d529f430ab114c",1,2.06625658361004e-06,0.000206625658361004
"ERR10234080",395151,2,"d4ef046f843d48ffd8e1822957ad9182ac974f17",14.4,3.64417652998474e-05,0.00364417652998474
"ERR10234080",395151,1,"4233c0f828bfeaf7ee348e2ad0b39f00333cdfa0",14.4,3.64417652998474e-05,0.00364417652998474
"ERR10234080",395151,7,"da28b9c99741458259a9e7a4b2e02e886707d2c8",14.4,3.64417652998474e-05,0.00364417652998474
"ERR10234080",395151,1,"268f00cae950bb1c985ec532ec0f87dd569b1303",14.4,3.64417652998474e-05,0.00364417652998474
"ERR10234080",395151,61,"435c43f3e341fde30eb0be6275d4df31ff6fe451",14.4,3.64417652998474e-05,0.00364417652998474
"ERR10234081",381618,3,"798905c86b7d6b4ffd499fd5c90e939eb96f1d00",6.47826086956522,1.69757738617288e-05,0.00169757738617288
"ERR10234081",381618,11,"ed47f5177b3246ba3208d0beb146109fe1cb0e79",6.47826086956522,1.69757738617288e-05,0.00169757738617288
"ERR10234081",381618,1,"d4ef046f843d48ffd8e1822957ad9182ac974f17",6.47826086956522,1.69757738617288e-05,0.00169757738617288
"ERR10234081",381618,7,"4233c0f828bfeaf7ee348e2ad0b39f00333cdfa0",6.47826086956522,1.69757738617288e-05,0.00169757738617288
"ERR10234081",381618,2,"1db382e73aa2589f2c93a0bd8d626c9e54b57c5b",6.47826086956522,1.69757738617288e-05,0.00169757738617288
"ERR10234081",381618,2,"8bc72b14c79f81a5a5fa004b77d048430949bb87",6.47826086956522,1.69757738617288e-05,0.00169757738617288
"ERR10234081",381618,15,"36d13107059e3c6a593b7eb721417ae3a2a1fde7",6.47826086956522,1.69757738617288e-05,0.00169757738617288
"ERR10234081",381618,55,"da28b9c99741458259a9e7a4b2e02e886707d2c8",6.47826086956522,1.69757738617288e-05,0.00169757738617288
"ERR10234081",381618,1,"309b6ca81f9dc04574733ec6d840e30026fd95b1",6.47826086956522,1.69757738617288e-05,0.00169757738617288
"ERR10234081",381618,1,"1e38fda22b0d2a541c07b7d039e02d50d27f5fbb",6.47826086956522,1.69757738617288e-05,0.00169757738617288
"ERR10234081",381618,1,"61cce32f78a61bdef2a49bce374a5014c87eb65c",6.47826086956522,1.69757738617288e-05,0.00169757738617288
"ERR10234081",381618,3,"8f5a4de69f77c87b8ce9133e2836ad45105ea814",6.47826086956522,1.69757738617288e-05,0.00169757738617288
"ERR10234081",381618,2,"41f6e46875bae62de8408bc00f3af69c80ed2f83",6.47826086956522,1.69757738617288e-05,0.00169757738617288
"ERR10234081",381618,1,"211ccea45454ca25b08cda278ebb47e6fb9d2039",6.47826086956522,1.69757738617288e-05,0.00169757738617288
"ERR10234081",381618,1,"f8a547df823d05bdcda25b45ac0f03bffe4facf1",6.47826086956522,1.69757738617288e-05,0.00169757738617288
"ERR10234081",381618,1,"36a354e8f61b6909f2364c10352c9e455dab6b37",6.47826086956522,1.69757738617288e-05,0.00169757738617288
"ERR10234081",381618,6,"d9b70a12a0768a74dca36f90c83ebbca84cb46ca",6.47826086956522,1.69757738617288e-05,0.00169757738617288
"ERR10234081",381618,14,"ae33e9da68828c38b63e2f5a109dbdd839fcab0e",6.47826086956522,1.69757738617288e-05,0.00169757738617288
"ERR10234081",381618,12,"268f00cae950bb1c985ec532ec0f87dd569b1303",6.47826086956522,1.69757738617288e-05,0.00169757738617288
"ERR10234081",381618,4,"435c43f3e341fde30eb0be6275d4df31ff6fe451",6.47826086956522,1.69757738617288e-05,0.00169757738617288
"ERR10234081",381618,2,"7140debca063b21db7e5b46b14fa265c73ba95f6",6.47826086956522,1.69757738617288e-05,0.00169757738617288
"ERR10234081",381618,2,"8c0b6f088024757d1844d987227b81b74333b88f",6.47826086956522,1.69757738617288e-05,0.00169757738617288
"ERR10234081",381618,2,"6d6331aa11ecabefd4d6d0e9d23b4acb3c39a848",6.47826086956522,1.69757738617288e-05,0.00169757738617288
"ERR10234082",482489,1,"7c3902be9611b51e180473134a777513c4cbde4c",1,2.07258611077144e-06,0.000207258611077144
"ERR10234084",396166,1,"1804c2dd4a017fb036fa2358eb5038cf85fb21f1",1,2.52419440335617e-06,0.000252419440335617
"ERR10234085",469712,4,"c4f621b688efe53dcfce12c262c150e0742d650c",4,8.51585652484927e-06,0.000851585652484927
"ERR10234089",353113,2,"1804c2dd4a017fb036fa2358eb5038cf85fb21f1",2,5.66390928682886e-06,0.000566390928682886
"ERR10234090",531184,1,"c4f621b688efe53dcfce12c262c150e0742d650c",1.66666666666667,3.13764470817394e-06,0.000313764470817394
"ERR10234090",531184,1,"51022342cd170898d4376accfb985d2f0c7e2f51",1.66666666666667,3.13764470817394e-06,0.000313764470817394
"ERR10234090",531184,3,"1804c2dd4a017fb036fa2358eb5038cf85fb21f1",1.66666666666667,3.13764470817394e-06,0.000313764470817394
"ERR10234092",500299,1,"1804c2dd4a017fb036fa2358eb5038cf85fb21f1",1,1.99880471478056e-06,0.000199880471478056
