sample	nreads-total	nreads-Pedino	relative_abundance	abundance_percent
ERR10028094	594562	1.0	1.6819103810872541e-06	0.00016819103810872542
ERR10028095	483967	1.0	2.0662565836100397e-06	0.00020662565836100397
ERR10234080	395151	23.0	5.820559735392293e-05	0.0058205597353922925
ERR10234081	381618	8.5	2.2273582483006566e-05	0.0022273582483006565
ERR10234082	482489	1.0	2.0725861107714375e-06	0.00020725861107714373
ERR10234084	396166	1.0	2.524194403356169e-06	0.0002524194403356169
ERR10234085	469712	4.0	8.515856524849269e-06	0.0008515856524849268
ERR10234089	353113	2.0	5.6639092868288625e-06	0.0005663909286828863
ERR10234090	531184	1.6666666666666667	3.137644708173941e-06	0.0003137644708173941
ERR10234092	500299	1.0	1.9988047147805614e-06	0.00019988047147805613
ERR10234095	492913	1.0	2.028755581613794e-06	0.0002028755581613794
ERR10234096	468523	4.0	8.537467744379678e-06	0.0008537467744379678
ERR10234100	376959	3.0	7.958425186824031e-06	0.0007958425186824032
ERR10234102	534737	14.0	2.6181094631566545e-05	0.0026181094631566545
ERR10234104	444551	13.75	3.093008451223819e-05	0.0030930084512238187
ERR10234105	483700	14.25	2.9460409344635105e-05	0.0029460409344635105
ERR10234167	448120	2.5	5.578862804605909e-06	0.0005578862804605909
ERR10234168	386414	1.0	2.5878979540078776e-06	0.00025878979540078776
ERR10234171	458750	2.6666666666666665	5.812897366030881e-06	0.0005812897366030881
ERR10234180	460212	2.0	4.345823229294326e-06	0.0004345823229294326
ERR10234182	443391	1.7142857142857142	3.866306971241442e-06	0.0003866306971241442
ERR10234185	490345	1.0	2.0393804362234753e-06	0.00020393804362234754
ERR10234188	564600	8.0	1.4169323414806943e-05	0.0014169323414806943
ERR10234189	506768	1.0	1.9732895526157926e-06	0.00019732895526157926
ERR10234191	472176	1.75	3.7062451289349736e-06	0.0003706245128934974
ERR10234194	475170	3.0	6.313529894564051e-06	0.0006313529894564051
ERR10234195	514999	2.2	4.271852955054282e-06	0.00042718529550542824
ERR10234196	233582	1.0	4.281151801080563e-06	0.00042811518010805625
ERR10234199	505248	1.0	1.97922604344797e-06	0.000197922604344797
ERR10234200	580311	1.0	1.7232139318399961e-06	0.00017232139318399962
ERR10234201	445788	4.0	8.972874998878391e-06	0.0008972874998878391
ERR10234202	487561	7.96	1.6326162264824298e-05	0.0016326162264824297
ERR10234207	420066	1.25	2.9757228625977824e-06	0.0002975722862597782
ERR10234208	445980	1.0	2.242253015830306e-06	0.00022422530158303062
ERR10234215	537721	2.0	3.719400953282464e-06	0.0003719400953282464
ERR10234216	476687	3.0869565217391304	6.4758563202670314e-06	0.0006475856320267031
ERR10234218	558687	5.161290322580645	9.238250259233963e-06	0.0009238250259233963
ERR10234220	495169	3.5833333333333335	7.236586566068016e-06	0.0007236586566068016
ERR10234222	510325	3.076923076923077	6.029340277123553e-06	0.0006029340277123553
ERR10234224	426718	3.5	8.202138180250188e-06	0.0008202138180250188
ERR10234227	421923	1.7727272727272727	4.20154215989001e-06	0.00042015421598900105
ERR10234235	517068	2.869565217391304	5.549686341818299e-06	0.0005549686341818299
ERR10234236	422274	1.0	2.3681306450314253e-06	0.00023681306450314252
ERR10234238	594820	3.6	6.052251101173465e-06	0.0006052251101173465
ERR10234240	391399	2.0	5.109875089103447e-06	0.0005109875089103447
ERR10234241	494628	1.0	2.021721374447059e-06	0.00020217213744470593
ERR10234247	475810	3.0	6.305037725142389e-06	0.0006305037725142389
ERR10234248	455862	1.8571428571428572	4.073914599468386e-06	0.0004073914599468386
ERR10234253	475662	2.9	6.096766191118904e-06	0.0006096766191118904
ERR10234254	329307	3.6	1.0932048210332609e-05	0.0010932048210332609
ERR10234255	420236	2.0	4.759230527608296e-06	0.0004759230527608296
ERR10234310	240935	1.0	4.1504970220183864e-06	0.00041504970220183863
ERR10234358	255643	1.5	5.867557492284162e-06	0.0005867557492284162
ERR10234359	256548	1.0	3.8979060448726945e-06	0.0003897906044872695
ERR10234400	158174	2.21875	1.4027273761806618e-05	0.0014027273761806618
ERR10234401	159777	2.4	1.5020935428753825e-05	0.0015020935428753826
ERR10234432	157334	1.0	6.355905271587832e-06	0.0006355905271587832
ERR10234438	679234	8.413793103448276	1.2387178944882434e-05	0.0012387178944882435
ERR10234439	368205	4.464285714285714	1.2124457066812549e-05	0.001212445706681255
ERR10234440	405429	3.4583333333333335	8.53005910611558e-06	0.000853005910611558
ERR10234441	362515	4.25	1.1723652814366301e-05	0.0011723652814366302
ERR10234442	348832	2.40625	6.8980196770938445e-06	0.0006898019677093845
ERR10234443	341251	3.2222222222222223	9.442381772426227e-06	0.0009442381772426227
ERR10234444	349628	7.3	2.0879334607068085e-05	0.0020879334607068084
ERR10234445	413257	2.4130434782608696	5.839086762621975e-06	0.0005839086762621976
ERR10234446	396648	3.5833333333333335	9.034038576605286e-06	0.0009034038576605286
ERR10234447	358421	3.1714285714285713	8.848333583770403e-06	0.0008848333583770403
ERR10234448	553684	6.463414634146342	1.167347193371371e-05	0.001167347193371371
ERR10234449	683347	4.310344827586207	6.3076955449957445e-06	0.0006307695544995745
ERR10234450	883095	4.617647058823529	5.22893579832694e-06	0.000522893579832694
ERR10234451	890652	6.704225352112676	7.527323075805899e-06	0.0007527323075805899
ERR10234452	868438	5.680851063829787	6.54145841594885e-06	0.000654145841594885
ERR10234453	805284	5.0	6.2089896235365415e-06	0.0006208989623536542
ERR10234454	890360	6.157894736842105	6.916185292288631e-06	0.0006916185292288631
ERR10234455	735209	4.526315789473684	6.156502150373137e-06	0.0006156502150373137
ERR10234456	624547	7.4324324324324325	1.1900517386893912e-05	0.0011900517386893913
ERR10234457	609419	4.657894736842105	7.643172820082907e-06	0.0007643172820082907
ERR10234458	672211	6.738095238095238	1.0023780090024172e-05	0.0010023780090024173
ERR10234459	665290	6.533333333333333	9.82027887587869e-06	0.000982027887587869
ERR10234460	812864	3.8863636363636362	4.781074861678751e-06	0.00047810748616787513
ERR10234461	629775	3.4246575342465753	5.437906449520186e-06	0.0005437906449520186
ERR10234462	697981	3.2857142857142856	4.707455196795164e-06	0.0004707455196795164
ERR10234463	726986	5.746268656716418	7.904235647889254e-06	0.0007904235647889254
ERR10234464	586752	3.0357142857142856	5.17376044003989e-06	0.000517376044003989
ERR10234465	554805	3.8157894736842106	6.877712842682043e-06	0.0006877712842682042
ERR10234466	574552	4.90566037735849	8.53823566423664e-06	0.000853823566423664
ERR10234467	654960	4.823529411764706	7.36461678845228e-06	0.000736461678845228
ERR10234468	609234	4.36	7.156527705282371e-06	0.0007156527705282371
ERR10234469	606506	3.2083333333333335	5.2898624800634015e-06	0.0005289862480063401
ERR10234470	664696	3.4150943396226414	5.137828931756234e-06	0.0005137828931756234
ERR10234472	596829	4.515151515151516	7.565234791123614e-06	0.0007565234791123614
ERR10234473	582400	5.1	8.75686813186813e-06	0.000875686813186813
ERR10234474	537487	5.944444444444445	1.1059699014942584e-05	0.0011059699014942584
ERR10234475	669176	5.2894736842105265	7.904458145854793e-06	0.0007904458145854793
ERR10234476	625331	11.56060606060606	1.8487178887031125e-05	0.0018487178887031126
ERR10234477	524607	7.5576923076923075	1.440638860650412e-05	0.001440638860650412
ERR10234478	660712	10.176470588235293	1.5402279038726847e-05	0.0015402279038726847
ERR10234479	649473	12.538461538461538	1.930559320935826e-05	0.0019305593209358262
ERR10234480	561266	7.0212765957446805	1.250971303400648e-05	0.001250971303400648
ERR10234481	537827	8.368421052631579	1.5559689365970057e-05	0.0015559689365970057
ERR10234482	567916	6.159090909090909	1.0845073759307554e-05	0.0010845073759307555
ERR10234483	696174	4.294117647058823	6.168167221210248e-06	0.0006168167221210248
ERR10234484	577761	9.11111111111111	1.576968869672946e-05	0.001576968869672946
ERR10234485	582950	3.1702127659574466	5.4382241460801895e-06	0.0005438224146080189
ERR10234486	640181	3.9523809523809526	6.1738491963693905e-06	0.0006173849196369391
ERR10234487	655805	5.1	7.776701915965873e-06	0.0007776701915965873
ERR10234488	567148	7.714285714285714	1.3601891771258498e-05	0.0013601891771258497
ERR10234489	482187	4.095238095238095	8.493049574621661e-06	0.0008493049574621661
ERR10234490	561027	3.3768115942028984	6.018982320285652e-06	0.0006018982320285652
ERR10234491	679397	3.4583333333333335	5.090298210520997e-06	0.0005090298210520997
ERR10234492	622104	6.38	1.0255519977367129e-05	0.0010255519977367129
ERR10234493	561052	10.266666666666667	1.829895743472382e-05	0.0018298957434723818
ERR10234494	458587	9.323529411764707	2.033099370842328e-05	0.002033099370842328
ERR10234495	531078	4.746835443037975	8.938113503172745e-06	0.0008938113503172745
ERR10234496	666189	4.038461538461538	6.062035756311705e-06	0.0006062035756311705
ERR10234497	651104	3.76	5.774807096869317e-06	0.0005774807096869317
ERR10234498	716404	4.52542372881356	6.316859940499438e-06	0.0006316859940499438
ERR10234499	662005	5.05	7.628341175670878e-06	0.0007628341175670878
ERR10234501	486421	25.0	5.139580733562079e-05	0.0051395807335620795
ERR10234503	601979	8.101694915254237	1.345843445577709e-05	0.001345843445577709
ERR10234504	586230	4.5	7.676168056905993e-06	0.0007676168056905992
ERR10234505	546309	4.767441860465116	8.726639796278508e-06	0.0008726639796278508
ERR10234506	622104	3.3684210526315788	5.414562601480747e-06	0.0005414562601480747
ERR10234507	672542	4.886792452830188	7.266152080955819e-06	0.0007266152080955819
ERR10234508	458864	4.810344827586207	1.0483160212146099e-05	0.0010483160212146098
ERR10234509	468655	6.545454545454546	1.3966466900928286e-05	0.0013966466900928287
ERR10234510	626468	5.6521739130434785	9.022286713836107e-06	0.0009022286713836106
ERR10234511	556004	5.153846153846154	9.269440784321973e-06	0.0009269440784321972
ERR10234512	607608	5.22	8.59106529209622e-06	0.000859106529209622
ERR10234513	533927	13.0	2.4347897746321126e-05	0.0024347897746321125
ERR10234514	595455	4.54	7.624421660746824e-06	0.0007624421660746824
ERR10234515	618452	5.476190476190476	8.854673404226158e-06	0.0008854673404226158
