amplicon	sample	nreads
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	SRR14697337	2
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	SRR14697294	2
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	SRR14697285	1
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	SRR14697281	3
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234195	4
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234216	11
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234220	12
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234227	3
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234235	4
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234247	2
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234400	6
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234401	5
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234438	2
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234439	1
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234440	1
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234441	22
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234442	1
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234444	2
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234445	6
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234446	4
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234450	7
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234451	3
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234453	5
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234454	3
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234455	12
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234456	6
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234457	5
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234460	1
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234461	9
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234463	21
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234464	1
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234465	9
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234466	22
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234467	2
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234468	12
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234470	1
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234473	2
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234474	1
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234475	2
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234476	53
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234477	26
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234478	99
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234479	6
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234480	68
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234481	74
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234482	18
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234485	4
798905c86b7d6b4ffd499fd5c90e939eb96f1d00	ERR10234486	9
