nreads-total	nreads-Pedino	relative_abundance	abundance_percent
594562	1.0	1.6819103810872541e-06	0.00016819103810872542
483967	1.0	2.0662565836100397e-06	0.00020662565836100397
395151	23.0	5.820559735392293e-05	0.0058205597353922925
381618	8.5	2.2273582483006566e-05	0.0022273582483006565
482489	1.0	2.0725861107714375e-06	0.00020725861107714373
396166	1.0	2.524194403356169e-06	0.0002524194403356169
469712	4.0	8.515856524849269e-06	0.0008515856524849268
353113	2.0	5.6639092868288625e-06	0.0005663909286828863
531184	1.6666666666666667	3.137644708173941e-06	0.0003137644708173941
500299	1.0	1.9988047147805614e-06	0.00019988047147805613
492913	1.0	2.028755581613794e-06	0.0002028755581613794
468523	4.0	8.537467744379678e-06	0.0008537467744379678
376959	3.0	7.958425186824031e-06	0.0007958425186824032
534737	14.0	2.6181094631566545e-05	0.0026181094631566545
444551	13.75	3.093008451223819e-05	0.0030930084512238187
483700	14.25	2.9460409344635105e-05	0.0029460409344635105
448120	2.5	5.578862804605909e-06	0.0005578862804605909
386414	1.0	2.5878979540078776e-06	0.00025878979540078776
458750	2.6666666666666665	5.812897366030881e-06	0.0005812897366030881
460212	2.0	4.345823229294326e-06	0.0004345823229294326
443391	1.7142857142857142	3.866306971241442e-06	0.0003866306971241442
490345	1.0	2.0393804362234753e-06	0.00020393804362234754
564600	8.0	1.4169323414806943e-05	0.0014169323414806943
506768	1.0	1.9732895526157926e-06	0.00019732895526157926
472176	1.75	3.7062451289349736e-06	0.0003706245128934974
475170	3.0	6.313529894564051e-06	0.0006313529894564051
514999	2.2	4.271852955054282e-06	0.00042718529550542824
233582	1.0	4.281151801080563e-06	0.00042811518010805625
505248	1.0	1.97922604344797e-06	0.000197922604344797
580311	1.0	1.7232139318399961e-06	0.00017232139318399962
445788	4.0	8.972874998878391e-06	0.0008972874998878391
487561	7.96	1.6326162264824298e-05	0.0016326162264824297
420066	1.25	2.9757228625977824e-06	0.0002975722862597782
445980	1.0	2.242253015830306e-06	0.00022422530158303062
537721	2.0	3.719400953282464e-06	0.0003719400953282464
476687	3.0869565217391304	6.4758563202670314e-06	0.0006475856320267031
558687	5.161290322580645	9.238250259233963e-06	0.0009238250259233963
495169	3.5833333333333335	7.236586566068016e-06	0.0007236586566068016
510325	3.076923076923077	6.029340277123553e-06	0.0006029340277123553
426718	3.5	8.202138180250188e-06	0.0008202138180250188
