"amplicon","n_present","rho","p_value","skip_reason","p_adj","sig"
"cdabba0ee85e45352c5df2e845248e365c26cedb",84,0.387370935811717,3.14574121276366e-27,NA,1.06011478870135e-24,"***"
"bf45cff73df2d252d86e1a0989a8aa4f1bed1135",56,0.323441172324684,5.08495786359089e-19,NA,8.56815400015066e-17,"***"
"798905c86b7d6b4ffd499fd5c90e939eb96f1d00",45,0.299094060663632,2.2917071802987e-16,NA,2.57435106586887e-14,"***"
"ccb0b979e5974e101dcfb101c528df808e1ef123",39,0.297531490928217,3.32766860238939e-16,NA,2.80356079751306e-14,"***"
"3575ca9133f90125d44ca9f71a57c6a0ba162354",44,0.283334415525279,8.89100302174317e-15,NA,5.9925360366549e-13,"***"
"3c8b7aee5034f440020847c8836b52c7bfc6f005",29,0.280061939453491,1.8471389117255e-14,NA,1.03747635541916e-12,"***"
"3d6f870e736ca7b5f840e85eb1229b4daccb132a",31,0.273355417604023,8.02051795713722e-14,NA,3.86130650222177e-12,"***"
"4cf8ef361bcd2d64b0f6b9ec201f971d2a96e527",20,0.266511953808052,3.44347343866774e-13,NA,1.45056318603879e-11,"***"
"3e3e8d3b5d498aa9e81c633c5114d565b84971bb",27,0.26557731443828,4.18819083355752e-13,NA,1.56824478989876e-11,"***"
"309b6ca81f9dc04574733ec6d840e30026fd95b1",35,0.257514158746688,2.19685483526176e-12,NA,7.40340079483212e-11,"***"
"56d6aea5bc4976194eacfd5e13c364e7f6881450",22,0.249861880650093,1.00525790166001e-11,NA,3.0797446623584e-10,"***"
"24165a28485b92cb67706ba18f446a106049f833",23,0.240999226987652,5.49630931664653e-11,NA,1.5435468664249e-09,"***"
"6ecfd4e9e44b8aa6d6a79cabe8a23813a5e6493e",24,0.236502801383616,1.26874282033661e-10,NA,3.28897177271874e-09,"***"
"d4ef046f843d48ffd8e1822957ad9182ac974f17",38,0.232934728283728,2.43466622971299e-10,NA,5.86058942438057e-09,"***"
"8bc72b14c79f81a5a5fa004b77d048430949bb87",23,0.230078327393215,4.07128841956805e-10,NA,9.14682798262955e-09,"***"
"e0090129b24f09bbed27386ca40ef782a73408c0",19,0.229579574257117,4.45061071647757e-10,NA,9.37409882158089e-09,"***"
"0c74a9ed2a836cffaf9d88b6570a9fb947034e89",20,0.227334534288918,6.6291792456249e-10,NA,1.31413729751505e-08,"***"
"dc019af63502cd36f44c8f7dd74c7d584fc72269",18,0.225110347523328,9.79746802864484e-10,NA,1.83430373647406e-08,"***"
"694ef83b2c2a90799eac83418545953ff38df025",18,0.220945987617527,2.01381310598918e-09,NA,3.57186850904396e-08,"***"
"ad8c25f7c26595b6d1e9e8a5ba45e50e134aa244",19,0.21984475132042,2.43072524765093e-09,NA,4.09577204229181e-08,"***"
"6d6f2ad5108ef9cd6d719e2ce2cd5e4d3e57669f",20,0.213578816819227,6.9591107796477e-09,NA,1.11677158701965e-07,"***"
"28e16164e8ddbebeb7b612ac1455b246fddc8564",22,0.207320657987075,1.92785704964701e-08,NA,2.95312648059565e-07,"***"
"6f81f0b3a0172640ef59e0eb6214526fb77e6671",20,0.206863267435056,2.0743538489399e-08,NA,3.03937933518586e-07,"***"
"ae90e7ebcea64dfaa7ac9209aea7b96da534154f",17,0.2058017435732,2.45710770541854e-08,NA,3.45018873635853e-07,"***"
"554a6c3856521af358bfeb677fed5116fda726c9",16,0.205199383613241,2.70384349511599e-08,NA,3.64478103141636e-07,"***"
"eb42eb81ac8e51d8210a47d5518d2a199ce35fd8",13,0.202726141575155,3.99298962840859e-08,NA,5.17552886451422e-07,"***"
"7ec173ad877c0b829b2a6bab089f5ca1746540d3",14,0.202130186800895,4.38309976490297e-08,NA,5.47075785471223e-07,"***"
"4dbd3f74c662a1eefda475f2af57d3b1a13f4077",15,0.198542688326665,7.63658997443753e-08,NA,9.19118150494803e-07,"***"
"062484cb58d32dad5b7f4a312b7ab70a2399b97e",18,0.197369303843146,9.13703813623554e-08,NA,1.06178684548668e-06,"***"
"7419d7f537ad72c465a7a46208fe636420043d25",18,0.196920834314829,9.78265678052177e-08,NA,1.09891844501195e-06,"***"
"cfea60c6a1a52f5024ed4932aad087fc3dd19846",17,0.195656587199873,1.18488163655323e-07,NA,1.28808100489819e-06,"***"
"36b7f18e7751dff300af5f7b80cf96317d98c031",14,0.194113555332982,1.49453197367978e-07,NA,1.57392898478151e-06,"***"
"89f2192e1fb57e1f270ed4b68b9cd03187909d54",12,0.193900318137018,1.54303414647124e-07,NA,1.57576517382063e-06,"***"
"b76b063c0b6b0dce2708f419345b2b5a142b605b",13,0.192960430703823,1.77552821475895e-07,NA,1.75986178933461e-06,"***"
"96d7a527caae97973eb0cfcd31b2d2d979ab45e7",13,0.192284343028115,1.96329912487045e-07,NA,1.89037658594669e-06,"***"
"0eb1ffdadfb08f8313a51e2d486c81e0a0363634",13,0.19203394018526,2.03759117385733e-07,NA,1.90741173774977e-06,"***"
"9daf22cee6b89fda4fe564f5d6653c09f97db274",19,0.190453074376929,2.57313880143456e-07,NA,2.34364263806337e-06,"***"
"21cc6da0b1ae900af3213f49558ea29cf86b52ef",9,0.184471603035753,6.11339799200603e-07,NA,5.42161874554219e-06,"***"
"3f3c51838dbbbacc4ebd3e2d27dab206d46d2481",14,0.182378365895014,8.22167167278036e-07,NA,7.10436757365892e-06,"***"
"95f066eca896004038ff2559be5aa6aa14eeb890",19,0.178658961972853,1.38034680520328e-06,NA,1.16294218338376e-05,"***"
"bd189cc5585e8664815512f685b4e7c8233396e8",12,0.17819556436447,1.47129981626968e-06,NA,1.20933667825093e-05,"***"
"ae45bf49521ed0a73374ea45025cf4d71a982d2b",12,0.177961165054432,1.51946939294017e-06,NA,1.21919329862104e-05,"***"
